Date;Close;Open;High;Low;Volume;Adj Close
05/14/2019;97.53;97.32;97.56;97.27;;97.53
05/13/2019;97.32;97.30;97.38;97.03;;97.32
05/10/2019;97.33;97.43;97.45;97.13;;97.33
05/09/2019;97.37;97.58;97.70;97.24;;97.37
05/08/2019;97.62;97.57;97.68;97.42;;97.62
05/07/2019;97.63;97.52;97.74;97.38;;97.63
05/06/2019;97.52;97.56;97.70;97.46;;97.52
05/03/2019;97.52;97.83;98.10;97.41;;97.52
05/02/2019;97.83;97.63;97.85;97.51;;97.83
05/01/2019;97.69;97.53;97.73;97.15;;97.69
04/30/2019;97.48;97.84;97.89;97.44;;97.48
04/29/2019;97.86;98.03;98.10;97.83;;97.86
04/26/2019;98.01;98.12;98.33;97.85;;98.01
04/25/2019;98.20;98.10;98.32;97.99;;98.20
04/24/2019;98.17;97.59;98.19;97.59;;98.17
04/23/2019;97.64;97.28;97.78;97.28;;97.64
04/22/2019;97.29;97.38;97.41;97.26;;97.29
04/19/2019;97.38;97.42;97.43;97.33;;97.38
04/18/2019;97.47;97.01;97.48;96.96;;97.47
04/17/2019;97.01;97.07;97.12;96.82;;97.01
04/16/2019;97.04;96.93;97.09;96.88;;97.04
04/15/2019;96.94;96.92;96.96;96.79;;96.94
04/12/2019;96.97;97.14;97.18;96.75;;96.97
04/11/2019;97.18;96.89;97.19;96.88;;97.18
04/10/2019;96.95;96.99;97.22;96.85;;96.95
04/09/2019;97.01;97.08;97.08;96.86;;97.01
04/08/2019;97.05;97.39;97.40;96.98;;97.05
04/05/2019;97.39;97.30;97.47;97.19;;97.39
04/04/2019;97.31;97.04;97.34;97.02;;97.31
04/03/2019;97.09;97.30;97.32;96.96;;97.09
04/02/2019;97.36;97.33;97.52;97.27;;97.36
04/01/2019;97.23;97.18;97.39;97.03;;97.23
03/29/2019;97.28;97.20;97.34;97.00;;97.28
03/28/2019;97.20;96.97;97.30;96.82;;97.20
03/27/2019;96.77;96.75;96.98;96.68;;96.77
03/26/2019;96.74;96.50;96.84;96.45;;96.74
03/25/2019;96.57;96.64;96.68;96.41;;96.57
03/22/2019;96.65;96.32;96.81;96.21;;96.65
03/21/2019;96.50;95.91;96.62;95.84;;96.50
03/20/2019;95.76;96.40;96.57;95.74;;95.76
03/19/2019;96.38;96.51;96.52;96.29;;96.38
03/18/2019;96.52;96.56;96.63;96.38;;96.52
03/15/2019;96.59;96.72;96.79;96.49;;96.59
03/14/2019;96.78;96.49;96.82;96.47;;96.78
03/13/2019;96.55;97.01;97.02;96.39;;96.55
03/12/2019;96.94;97.05;97.28;96.86;;96.94
03/11/2019;97.22;97.39;97.45;96.92;;97.22
03/08/2019;97.31;97.61;97.64;97.25;;97.31
03/07/2019;97.67;96.83;97.71;96.81;;97.67
03/06/2019;96.87;96.90;96.99;96.78;;96.87
03/05/2019;96.87;96.67;97.01;96.66;;96.87
03/04/2019;96.68;96.34;96.82;96.33;;96.68
03/01/2019;96.53;96.22;96.55;96.07;;96.53
02/28/2019;96.16;96.09;96.28;95.82;;96.16
02/27/2019;96.15;96.06;96.19;95.88;;96.15
02/26/2019;96.00;96.39;96.46;95.95;;96.00
02/25/2019;96.41;96.52;96.60;96.32;;96.41
02/22/2019;96.51;96.59;96.78;96.42;;96.51
02/21/2019;96.61;96.49;96.66;96.36;;96.61
02/20/2019;96.45;96.53;96.65;96.29;;96.45
02/19/2019;96.52;96.81;97.08;96.43;;96.52
02/18/2019;96.90;96.81;96.90;96.65;;96.90
02/15/2019;96.90;97.06;97.37;96.83;;96.90
02/14/2019;96.98;97.14;97.28;96.95;;96.98
02/13/2019;97.13;96.73;97.26;96.63;;97.13
02/12/2019;96.71;97.06;97.20;96.65;;96.71
02/11/2019;97.06;96.66;97.12;96.62;;97.06
02/08/2019;96.64;96.60;96.69;96.45;;96.64
02/07/2019;96.51;96.39;96.67;96.38;;96.51
02/06/2019;96.39;96.06;96.42;96.04;;96.39
02/05/2019;96.07;95.83;96.12;95.81;;96.07
02/04/2019;95.85;95.60;95.92;95.57;;95.85
02/01/2019;95.58;95.55;95.66;95.40;;95.58
01/31/2019;95.58;95.35;95.62;95.16;;95.58
01/30/2019;95.34;95.79;95.98;95.25;;95.34
01/29/2019;95.82;95.74;95.87;95.62;;95.82
01/28/2019;95.75;95.79;95.92;95.64;;95.75
01/25/2019;95.79;96.49;96.53;95.74;;95.79
01/24/2019;96.60;96.07;96.68;96.04;;96.60
01/23/2019;96.12;96.31;96.37;96.05;;96.12
01/22/2019;96.30;96.34;96.48;96.22;;96.30
01/21/2019;96.34;96.35;96.43;96.20;;96.34
01/18/2019;96.34;96.07;96.39;96.01;;96.34
01/17/2019;96.06;96.07;96.26;95.98;;96.06
01/16/2019;96.06;95.94;96.18;95.86;;96.06
01/15/2019;96.04;95.57;96.26;95.47;;96.04
01/14/2019;95.61;95.65;95.72;95.48;;95.61
01/11/2019;95.67;95.44;95.76;95.19;;95.67
01/10/2019;95.54;95.16;95.62;95.03;;95.54
01/09/2019;95.22;95.81;95.92;95.12;;95.22
01/08/2019;95.90;95.69;96.03;95.68;;95.90
01/07/2019;95.67;96.16;96.16;95.64;;95.67
01/04/2019;96.18;96.28;96.61;96.05;;96.18
01/03/2019;96.31;96.72;96.75;96.21;;96.31
01/02/2019;96.82;96.14;96.96;95.82;;96.82
01/01/2019;96.17;96.15;96.32;95.65;;96.17
12/31/2018;96.17;96.40;96.51;96.00;;96.17
12/28/2018;96.40;96.51;96.52;96.19;;96.40
12/27/2018;96.48;96.92;96.94;96.41;;96.48
12/26/2018;97.05;96.58;97.12;96.53;;97.05
12/25/2018;96.55;96.56;96.96;96.47;;96.55
12/24/2018;96.55;96.94;96.94;96.38;;96.55
12/21/2018;96.96;96.39;97.05;96.25;;96.96
12/20/2018;96.28;96.99;97.04;96.17;;96.28
12/19/2018;97.03;96.91;97.10;96.55;;97.03
12/18/2018;97.10;97.13;97.17;96.70;;97.10
12/17/2018;97.10;97.43;97.46;97.05;;97.10
12/14/2018;97.44;97.09;97.71;97.08;;97.44
12/13/2018;97.06;97.04;97.29;96.88;;97.06
12/12/2018;97.04;97.38;97.49;96.89;;97.04
12/11/2018;97.39;97.18;97.55;96.87;;97.39
12/10/2018;97.22;96.72;97.24;96.36;;97.22
12/07/2018;96.51;96.80;96.92;96.51;;96.51
12/06/2018;96.81;97.01;97.20;96.55;;96.81
12/05/2018;97.07;97.01;97.20;96.83;;97.07
12/04/2018;96.97;96.94;97.13;96.38;;96.97
12/03/2018;97.04;97.13;97.16;96.71;;97.04
11/30/2018;97.27;96.76;97.31;96.71;;97.27
11/29/2018;96.78;96.84;97.00;96.63;;96.78
11/28/2018;96.79;97.37;97.54;96.69;;96.79
11/27/2018;97.37;97.03;97.50;96.97;;97.37
11/26/2018;97.07;96.93;97.10;96.66;;97.07
11/23/2018;96.92;96.51;96.98;96.40;;96.92
11/22/2018;96.71;96.72;96.72;96.32;;96.71
11/21/2018;96.71;96.82;96.87;96.50;;96.71
11/20/2018;96.84;96.20;96.89;96.04;;96.84
11/19/2018;96.19;96.43;96.57;96.12;;96.19
11/16/2018;96.47;97.05;97.06;96.40;;96.47
11/15/2018;96.93;97.01;97.39;96.77;;96.93
11/14/2018;96.80;97.03;97.41;96.75;;96.80
11/13/2018;97.30;97.60;97.66;96.94;;97.30
11/12/2018;97.54;97.05;97.69;96.97;;97.54
11/09/2018;96.91;96.63;97.01;96.62;;96.91
11/08/2018;96.72;96.19;96.74;96.07;;96.72
11/07/2018;96.00;95.99;96.46;95.68;;96.00
11/06/2018;96.32;96.33;96.45;96.14;;96.32
11/05/2018;96.28;96.44;96.68;96.25;;96.28
11/02/2018;96.54;96.31;96.59;95.99;;96.54
11/01/2018;96.28;97.08;97.11;96.20;;96.28
10/31/2018;97.13;96.99;97.20;96.88;;97.13
10/30/2018;97.01;96.66;97.02;96.62;;97.01
10/29/2018;96.58;96.44;96.70;96.35;;96.58
10/26/2018;96.36;96.59;96.86;96.29;;96.36
10/25/2018;96.68;96.36;96.73;96.21;;96.68
10/24/2018;96.43;95.92;96.53;95.91;;96.43
10/23/2018;95.96;96.03;96.16;95.81;;95.96
10/22/2018;96.01;95.66;96.09;95.47;;96.01
10/19/2018;95.71;95.95;96.09;95.54;;95.71
10/18/2018;95.90;95.66;95.99;95.49;;95.90
10/17/2018;95.58;95.09;95.66;95.06;;95.58
10/16/2018;95.05;95.05;95.20;94.79;;95.05
10/15/2018;95.06;95.35;95.37;94.95;;95.06
10/12/2018;95.22;95.04;95.37;94.95;;95.22
10/11/2018;95.02;95.43;95.43;94.99;;95.02
10/10/2018;95.51;95.59;95.79;95.38;;95.51
10/09/2018;95.67;95.75;96.16;95.64;;95.67
10/08/2018;95.76;95.62;96.03;95.59;;95.76
10/05/2018;95.62;95.76;95.94;95.52;;95.62
10/04/2018;95.75;96.05;96.12;95.55;;95.75
10/03/2018;95.76;95.46;96.12;95.26;;95.76
10/02/2018;95.51;95.30;95.74;95.26;;95.51
10/01/2018;95.30;95.11;95.37;95.00;;95.30
09/28/2018;95.13;95.02;95.37;94.92;;95.13
09/27/2018;94.89;94.25;95.01;94.21;;94.89
09/26/2018;94.19;94.17;94.40;93.95;;94.19
09/25/2018;94.13;94.25;94.37;94.01;;94.13
09/24/2018;94.19;94.23;94.37;93.84;;94.19
09/21/2018;94.22;93.89;94.33;93.81;;94.22
09/20/2018;93.91;94.55;94.56;93.83;;93.91
09/19/2018;94.54;94.54;94.73;94.32;;94.54
09/18/2018;94.64;94.61;94.73;94.31;;94.64
09/17/2018;94.50;94.93;94.98;94.44;;94.50
09/14/2018;94.93;94.55;95.00;94.36;;94.93
09/13/2018;94.52;94.83;94.97;94.43;;94.52
